Species,SpeciesID,PMID_List,length
Aspergillus,746128,[25532893],1
Aspergillus aculeatus,5053,"[29248948, 28672096]",2
Aspergillus clavatonanicus,41054,[29049321],1
Aspergillus flavus,5059,"[9464413, 11109318, 23979826, 22747978, 18758096]",5
Aspergillus fumigatus,746128,"[20479975, 15119855, 26861361, 25532893, 29188775, 22039419, 12297156, 23342508]",8
Aspergillus nidulans,162425,"[27548127, 1368054]",2
Aspergillus niger,5061,"[26160390, 23289327, 24588891, 20527468, 26048933, 20392474, 28000056, 20336498, 15189291, 20606771, 25863020, 23157656]",12
Aspergillus ochraceus,40380,"[23569796, 11109318, 19086381]",3
Aspergillus oryzae,5062,[19220400],1
Aspergillus sp,5065,"[28117709, 26792125, 26061478, 24037513]",4
Aspergillus terreus,33178,"[6400479, 28083890]",2
Aspergillus tubingensis,5068,[26792125],1
Aspergillus versicolor,46472,"[25835225, 26637162, 22363226]",3
Aspergillus westerdijkiae,357447,[24532297],1
Astragalus mollissimus var,90190,[22130270],1
Azospirillum,1064539,[21043573],1
Azospirillum,137722,[23266268],1
Azospirillum brasilense,192,"[23360460, 21843946]",2
Azospirillum brasilense Sp245,1064539,[21043573],1
Azospirillum lipoferum 4B,862719,"[26303982, 23266268]",2
Azospirillum sp,34012,[23360460],1
Azospirillum sp. B510,137722,[23266268],1
Azotobacter,354,[26452553],1
Azotobacter vinelandii,354,[26452553],1
B. Subtilis,1423,[23342508],1
B. amyloliquefaciens,1390,"[27723315, 21262282, 25725457, 28164794, 25764969, 25996156]",6
B. amyloliquefaciens DSM7,692420,[21262282],1
B. amyloliquefaciens FZB42,326423,"[21262282, 17704766]",2
B. aphidicola,9,[27297891],1
B. asparagoides,40386,[19878319],1
B. bacteriovorus,959,"[29259082, 29212086]",2
B. bacteriovorus HD100,264462,[29259082],1
B. borstelensis,45462,[27626430],1
B. cenocepacia,95486,[24096416],1
B. cepacia,292,[24096416],1
B. cereus,1396,"[24193053, 23488669, 27634222, 25432345, 25713360, 17898845, 27554496]",7
B. cinerea,40559,"[19191973, 23488669, 12423020]",3
B. circulans,1397,[11132960],1
B. diazoefficiens USDA 110,224911,[24888481],1
B. dothidea,55169,[24689437],1
B. fibrisolvens,831,[22871941],1
B. glumae,337,[24096416],1
B. japonicum,375,"[23993531, 24888481]",2
B. japonicum USDA 6,1037409,[24888481],1
B. kirkii,198822,"[23902262, 22548823]",2
B. licheniformis,1402,"[19191973, 21951859, 21086131, 12839737, 14643798, 12575445]",6
B. methylotrophicus,492670,[23568196],1
B. monnieri,263974,"[28454711, 23085953]",2
B. multivorans,87883,[24096416],1
B. nematocida,302048,[24130811],1
B. neritina,10212,[11571152],1
B. pilosa,42337,[27166532],1
B. plantarii,41899,[24096416],1
B. pseudomallei,28450,[18793314],1
B. pseudomallei strain,272560,[18793314],1
B. pumilus,1408,"[19191973, 21086131]",2
B. rapa,3711,[24029746],1
B. seminalis,488731,[28194740],1
B. subtilis,1423,"[24663118, 19191973, 24193053, 22777252, 19777825, 28764775, 27624095, 23488669, 27664721, 24175613, 21207111, 29108108, 28283524, 16503283, 21262282, 17704766, 25002419, 26985927, 24571086, 25713360, 17898845, 16989307, 12575445, 27251587, 21763692, 27301128, 19354300, 21843946, 27784798]",29
B. subtilis 168,224308,"[17704766, 28164794, 24130811]",3
B. thailandensis,57975,"[28320949, 27367535, 24808135]",3
B. thuringiensis,1428,"[19246762, 21528405]",2
B. velezensis,1390,"[27664721, 27899334, 28690133, 28164794]",4
BP,28450,[24884988],1
BRADYRHIZOBIUM JAPONICUM,375,[26638490],1
BY,4932,[27471059],1
Bacillus,1390,"[25512025, 27863465, 27899334, 25764969, 26035127, 17898845, 17953685]",7
Bacillus,1396,"[23979826, 19246762]",2
Bacillus,1402,"[21951859, 20479975, 12068577]",3
Bacillus,1409,"[22747978, 22332977]",2
Bacillus,227866,[28764775],1
Bacillus,302048,[24130811],1
Bacillus,326423,[24610713],1
Bacillus Licheniformis,1402,[25703710],1
Bacillus amyloliquefaciens,1390,"[25512025, 27863465, 27723315, 21262282, 25725457, 28164794, 25764969, 26035127, 17898845, 25427716, 25996156, 17953685]",12
Bacillus amyloliquefaciens FZB42,326423,"[17704766, 24610713]",2
Bacillus cereus,1396,"[19708882, 24193053, 25868618, 9246777, 25145230, 24948949, 21454167, 25666178, 23979826, 26588432, 23870821, 23975673, 28726195, 26525981, 25432345, 26001558, 25713360, 17898845, 17882415, 26809052, 28972184, 30549826, 24097052, 19246762, 26186031, 25863020, 27554496]",27
Bacillus circulans,1397,[25406714],1
Bacillus glycinifermentans,1664069,[28438580],1
Bacillus licheniformis,1402,"[24138171, 25868618, 21951859, 20479975, 24759645, 12839737, 14643798, 12068577]",8
Bacillus marisflavi,189381,[22809069],1
Bacillus methylotrophicus,492670,[23568196],1
Bacillus nematocida,302048,[24130811],1
Bacillus pumilus,1408,"[21086131, 12839737]",2
Bacillus smithii,1479,[24759645],1
Bacillus sp,1409,"[25559405, 23065379, 28726195, 27049393, 26058971]",5
Bacillus sp.,1409,"[23065379, 22747978, 22332977]",3
Bacillus sp. 4117,1264234,[24905482],1
Bacillus sp. CCMI 1053,300172,[17953685],1
Bacillus sp. P25,1500156,[24857962],1
Bacillus sp. S3,486398,[21086131],1
Bacillus subtilis,1423,"[24663118, 27166532, 24193053, 22777252, 28800088, 19777825, 28764775, 27624095, 25512025, 23488669, 24300024, 25420039, 24691280, 26160390, 23538871, 27730337, 27664721, 24175613, 21207111, 29108108, 25666178, 28283524, 16503283, 22981745, 21262282, 29216824, 28392268, 12839737, 24399857, 23289327, 28699251, 24663116, 28893188, 10907551, 26832668, 25002419, 24689437, 26985927, 21596505, 22747978, 24571086, 29049321, 25713360, 12910260, 25574657, 26035127, 17898845, 26048933, 28972184, 241738, 24425772, 27251587, 21763692, 20392474, 25427716, 17555441, 23840410, 28592323, 23566822, 21512256, 22654215, 20372017, 22940582, 22039419, 27301128, 20606771, 24450337, 19354300, 20473607, 23342508, 21843946, 27784798]",72
Bacillus subtilis 168,224308,"[24175613, 17704766]",2
Bacillus subtilis GB03,1423687,[25655927],1
