Species,SpeciesID,PMID_List,length
Mycobacterium smegmatis,1772,"[18704271, 25406714, 21060211, 26001558, 27609432]",5
Mycobacterium sp,1785,"[27754712, 20155945]",2
Mycobacterium tuberculosis,1773,"[21826462, 24197465, 15307685, 23296917, 23289327, 21060211, 28699251, 26809052, 23002228, 12000953, 22173186, 26323856, 19018016, 17464055, 19362644]",15
Mycobacterium tuberculosis (H37Rv),83332,[29066791],1
Mycobacterium tuberculosis H(37)Rv,83332,[21394664],1
Mycobacterium tuberculosis H37Rv,83332,[19018016],1
Mycogone cervina,100997,[15043434],1
Mycoplasma bovis,28903,[25824130],1
Myrcia guianensis,1134158,[24948926],1
Myrica gale,29739,[20190089],1
Myriophyllum spicatum,208873,[12474899],1
Myrothecium verrucaria,1859699,[27498615],1
Myxine glutinosa,7769,[18342561],1
Myxococcus,246197,[23828520],1
Myxococcus,34,"[28161814, 18803421]",2
Myxococcus fulvus,33,[10547442],1
Myxococcus stipitatus,83455,[27291672],1
Myxococcus stipitatus DSM 14675,1278073,[27291672],1
Myxococcus xanthus,34,"[28161814, 19190408, 18378661, 21764930, 17965706, 26518442, 23177199, 19462013, 23828520, 25002419, 22977088, 17148609, 18803421, 14651865, 16791590, 27035738, 16952943, 18701643, 16997979]",19
Myxococcus xanthus DK1622,246197,"[24425771, 23828520]",2
N. asteroides,1824,[24884595],1
N. attenuata,49451,[26122961],1
N. brasiliensis,27835,"[21060211, 24884595]",2
N. brasiliensis HUJEG-1,1133849,[24884595],1
N. brasiliensis IFM 10847,1406859,[24884595],1
N. cyriacigeorgica,135487,[24884595],1
N. farcinica,37329,"[21060211, 19942945, 24884595]",3
N. glauca,4090,[26122961],1
N. gonorrhoeae,485,[25673666],1
N. lactamdurans,1913,[1368054],1
N. nova,37330,[21060211],1
N. otitidiscaviarum,1823,[24884595],1
N. punctiforme,272131,[25624477],1
N5DB8-4,931531,[22753528],1
N5EA6-3A2B,930972,[22753528],1
NBRC 105882,688067,[26452464],1
NBRC 108812,1306990,[24690912],1
NBRC 12875,1911,[21897037],1
NBRC 13193,146923,[24948949],1
Naegleria americana,234912,[26246193],1
Nannocystis,54,[19040244],1
Nannocystis exedens,54,[19040244],1
Nectria,140110,[24948926],1
Nectria haematococca,140110,[24948926],1
Neisseria gonorrhoeae,485,[25673666],1
Nemopilema nomurai,321803,"[29037949, 26637162]",2
Nerium oleander L,63479,[18758096],1
Nicotiana tabacum,4097,[25101956],1
Nitzschia closterium,2856,[26670415],1
Nocardia,1406858,[24884595],1
Nocardia,449212,[19708882],1
Nocardia,508464,[21060211],1
Nocardia,639808,[20067528],1
Nocardia (Sp080513SC-18),639808,[20067528],1
Nocardia asteroides NBRC 15531,1110697,[24884595],1
Nocardia brasiliensis NBRC 14402,1206724,[24884595],1
Nocardia cyriacigeorgica GUH-2,1127134,[24884595],1
Nocardia dassonvillei,2014,[22494896],1
Nocardia farcinica IFM 10152,247156,"[21060211, 24884595]",2
Nocardia lactamdurans,1913,[1368054],1
Nocardia levis,449212,"[19708882, 19577444]",2
Nocardia mikamii,508464,[21060211],1
Nocardia otitidiscaviarum IFM 11049,1406858,[24884595],1
Nocardiopsis,1710533,[26474119],1
Nocardiopsis alba,53437,[23352141],1
Nocardiopsis sp. (strain CNQ115),1710533,[26474119],1
Nocardiopsis sp. (strain G057),1747356,[27169191],1
Nocardiopsis sp. RV163,1661388,[24857962],1
Nocardiopsis sp. SBT366,1580529,[26490827],1
Nonomuraea sp. strain ATC,93944,[19047343],1
Nonomuria rubra,46180,[10656576],1
Norway spruce,3329,[22852578],1
Nostoc (LEGE06077),915325,[22093261],1
Nostoc XPORK14A,2027340,[24895757],1
Nostoc punctiforme,272131,"[25624477, 21780139]",2
O-beta,95145,"[25775804, 28072559, 18758096, 25520187]",4
O. basilicum,39350,[27179537],1
O. danica,2986,[28944994],1
O. dillenii,308223,[26160390],1
O. japonicus,100506,[23190550],1
O. mungos,43537,[18561955],1
O. oeni,1247,"[19919120, 19441818, 12672588, 22924897]",4
O. spongeliae,190968,[9582417],1
O157:H7,83334,[25290220],1
OE1-1,1429399;1429399,"[28722830, 25250839]",2
ORE,39352,[16230654],1
Ochrobactrum sp,42190,[25594688],1
Ochrocladosporium frigidarii,470062,[24759645],1
Ochromonas danica,2986,[28944994],1
Ocimum basilicum,39350,[27179537],1
Odontotermes obesus,483037,[19769587],1
Oenococcus oeni,1247,"[19919120, 19441818, 12672588, 22924897]",4
Olive,4146,[26931616],1
Onion,4679,[26466717],1
Ophiopogon japonicus,100506,[23190550],1
Ophiorrhiza mungos,43537,[18561955],1
Opuntia dillenii,308223,[26160390],1
Origanum vulgare subsp. hirtum,497766,[22527057],1
Oryza sativa,4530,"[26303982, 23266268]",2
Oryza sativa L,4530,"[26303982, 26809052]",2
Oscheius) sp,146893,"[25666178, 23979826, 22747978, 22332977]",4
Oscillatoria nigro-viridis,482564,[18493654],1
Oscillatoria sp. (PCC 6506),272129,[24293352],1
Oscillatoria spongeliae,190968,[9582417],1
Oxytropis sericea,90234,[22130270],1
Oyster mushrooms,5322,[24941164],1
P. aeruginosa,287,"[28708374, 23488669, 23563743, 24136453, 12018176, 19086381, 29108108, 22069558, 10763748, 28255686, 26588432, 20336292, 18755976, 26832668, 16436433, 25809238, 20553557, 15636743, 19486391, 23480526, 10500159, 16989307, 25239889, 21965577, 24923764, 7780603, 11782502, 28931063, 8898383, 27523480, 164997, 26331158, 11673439, 25162599, 2507445, 20705730, 23457628, 29188775, 12423020, 27480638, 20738404, 27966085, 25133532, 17028277, 23342508, 19054330, 27033000]",47
P. aeruginosa PAO1,208964,"[23457254, 15636743, 20069876]",3
P. aeruginosa PGPR2,1328315,[24037513],1
P. aeruginosa stra,208964,[27480638],1
P. agardhii,1160,[27307781],1
P. agglomerans,549,[19778959],1
P. alba,33578,[28231859],1
P. aphanidermatum,65070,[28807055],1
P. asymbiotica,291112,"[23095088, 23053483]",2
P. atlantica,288,[23619351],1
P. aurantiaca,86192,[27974729],1
P. aureofaciens,587851,"[12018176, 4968963]",2
P. brasilianum,104259,[28632186],1
P. brassicacearum,314235,[23350846],1
P. brassicacearum,930166,[22247157],1
P. camemberti,5075,[9246777],1
P. capsici,4784,[20580869],1
P. chlororaphis,587753,"[21204921, 12018176, 27974729, 28893188, 22328763, 26860841, 21392918, 23606419]",8
P. chlororaphis subsp. chlororaphis,333,[27974729],1
P. chrysogenum,5076,[1368054],1
P. chrysosporium,5306,[29257362],1
P. citrinum,5077,[21053938],1
P. corrugata,47879,[17657535],1
P. dendritiformis,130049,[27626430],1
P. didemni,1216,[22123943],1
P. digitatum,36651,[27910758],1
P. entomophila,312306,"[20597908, 19486283]",2
P. expansum,27334,"[23065379, 22747978]",2
P. fluorescens,294,"[22806873, 12422510, 21204921, 28807055, 12018176, 12448737, 10763748, 25957971, 16637170, 19769587, 23295683, 16597964, 14506862, 19486391, 29151161, 22375709, 22188391, 23350846, 21392918, 27523480, 164997, 26246193, 20236162, 21843946, 10547442]",25
P. fluorescens BBC6R8,463794,[27199346],1
P. fluorescens BBc6R8,463794,"[27199346, 24906569]",2
P. fluorescens CHA0,1124983,"[16597964, 20884343]",2
P. fluorescens F113,1114970,"[10869066, 21043573, 23350846]",3
P. fluorescens Pf-5,220664,"[15980861, 22375709, 20089046]",3
P. fluorescens Pf0-1,205922,[21228890],1
P. fluorescens SS101,1038924,[25488342],1
P. fluorescens biotype D,333,[4968963],1
P. fluorescens stra,1124983,[10763748],1
P. fluorescens stra,220664,[11816976],1
P. fruticosus,160371,[24004258],1
P. fusifera,287938,[18421429],1
P. gallaeciensis,60890,[22717884],1
P. geniculata,86188,[12018176],1
P. gingivalis,837,"[26477831, 23033653]",2
P. guepinii,498732,[10986672],1
P. halotolerans,265726,[24141121],1
P. intermedia,28131,[23033653],1
P. larvae,1464,"[24975930, 25904391, 27394713, 25069424, 25529345, 27760211, 25044543]",7
P. lentimorbus NRRL B-30488,1244087,[24140292],1
P. longicolla,54899,[23296917],1
P. luminescens,29488,"[28062794, 22767929, 23053483, 28431213, 20524642]",5
P. luteoviolacea,43657,"[24141121, 21305330]",2
P. multivorans,292,[4968963],1
P. muralis,64176,[28592323],1
P. nicotianae,4790,[18396832],1
P. nigra,569429,[25572211],1
P. nigrum,13216,"[24193053, 23885762]",2
P. ostreatus,5322,"[24941164, 27910758]",2
P. oxalicum,69781,"[21053938, 26670415]",2
P. palmeri,69925,[24004258],1
P. perfoliatus,55320,[12474899],1
P. piscicida,38294,[24141121],1
P. piscicida,43662,[25646964],1
P. piscicida,71001,[16913924],1
P. placenta,104341,[29257362],1
P. polycolor,287,[164997],1
P. polymyxa,1406,[18459968],1
P. polymyxa E681,349520,[18459968],1
P. polymyxa stra,349520,[18459968],1
P. polyphylla,49666,"[26782406, 24917072]",2
P. pomum,57637,[20527468],1
P. protegens,380021,[28262092],1
P. pseudagardhii,132604,[27307781],1
P. putida,303,"[22527057, 12018176, 21495154, 25655927, 17185221, 23877277, 26916832]",7
P. putida W15Oct28,1449986,[23877277],1
P. pyramidalis,207323,[27192209],1
P. reinekei,395598,[22609919],1
P. rubescens,59512,[27307781],1
P. rubra,1830,[24141121],1
P. ruminicola 23,264731,[18661292],1
P. sp. M18,228095,[20069876],1
P. syringae,317,"[18789127, 26991928, 19486391, 21392918]",4
P. syringae DC3000,223283,[22375709],1
P. syringae pv. syringae,317,[11816976],1
P. syringae pv. tomato DC3000,223283,[17601782],1
P. taetrolens,47884,[22777280],1
P. temperata,574560,[23053483],1
P. ternata,199225,[25868618],1
P. tricornutum,2850,[28073457],1
P. tunicata,314281,[16957232],1
P. venustus,265172,[24004258],1
P. vittata,13821,[28567675],1
PAO1,208964,"[27480638, 20499649]",2
PCC 73102,272131,[19031897],1
PCL1171,235469,"[14601668, 15629930]",2
PCVAL,1053648,[24204799],1
PE36,1399144,[24595070],1
PM49,1255286,[25737024],1
POM,22663,[26189645],1
PP-C42,986330,[21571991],1
PSP,319,[19486391],1
Paecilomyces,264951,[29037949],1
Paecilomyces variotii,264951,"[26861361, 29037949]",2
Paederus fuscipes,347427,[15305917],1
Paenibacillus,1528787,[28557379],1
Paenibacillus,58172,"[27754712, 28224723]",2
Paenibacillus larvae,1464,"[24975930, 25904391, 27394713, 25069424, 25529345, 27760211, 25044543]",7
Paenibacillus lentimorbus NRRL B-30488,1244087,[24140292],1
Paenibacillus polymyxa,1406,"[25512025, 18459968]",2
Paenibacillus polymyxa M-1,1052684,[21952539],1
Paenibacillus sp,58172,"[27754712, 28224723]",2
Paenibacillus sp. AD87,1528787,[28557379],1
Paenibacillus sp. LC231,1120679,[29259290],1
Panax ginseng,4054,"[27723315, 9436194]",2
Panax quinquefolium,44588,[15969025],1
Pandanus amaryllifolius,260201,[21394664],1
Pandoraea pnomenusa,93220,[22427498],1
Pantoea agglomerans,549,"[19778959, 19189039]",2
Pantoea stewartii,66269,[25635112],1
Parabacteroides distasonis,823,[23349065],1
Paramecium bursaria,74790,[17295279],1
Paris polyphylla,49666,[24917072],1
Paris polyphylla var. yunnanensis,221260,[26782406],1
Parmotrema austrosinense,235510,[28035958],1
Parthenium hysterophorus L,183063,[23455197],1
Pastinaca sativa,4041,[19694949],1
Patients,9606,[28923537],1
Paullinia cupana,392747,[27757508],1
Paxina acetabulum,565367,[15043434],1
Pba,29471,[26307771],1
PcO6,1037915,[19239495],1
Pca,29471,[25489722],1
Pcc,555,[26307771],1
Pectobacterium atrosepticum,29471,"[26307771, 19189039, 25489722]",3
Pectobacterium carotovorum subsp. carotovorum,555,[26307771],1
Pediococcus pentosaceus,1255,"[26189714, 26907755]",2
Pedobacter,1411316,[17233750],1
Pedobacter,509635,[19267150],1
Pedobacter sp,1411316,"[17233750, 22110622]",2
Pedobacter sp. V48,509635,[19267150],1
Pelargonium sidoides,1417791,[20797445],1
Pelargonium sidoides DC,1417791,[20797445],1
Peltostigma guatemalense,1136780,[19296377],1
Penicillium,1266769,[11109318],1
Penicillium,303698,[10409050],1
Penicillium,39317,[24948926],1
Penicillium,5077,[19086381],1
Penicillium,5081,[9246777],1
Penicillium avellaneum,39317,[24948926],1
Penicillium brasilianum,104259,[28632186],1
Penicillium canadensis,168477,[10986672],1
Penicillium chrysogenum,5076,"[1368054, 15719553, 15939351]",3
Penicillium citrinum,5077,"[19086381, 18459968]",2
Penicillium expansum,27334,[22747978],1
Penicillium glabrum,69773,[19597575],1
Penicillium oxalicum,69781,[26670415],1
Penicillium restrictum,69784,[25121102],1
Penicillium roqueforti,5082,[2231314],1
Penicillium rubrum,1266769,[11109318],1
Penicillium sp,5081,"[9246777, 28117709, 27917206, 16680458]",4
Penicillium steckii,303698,[10409050],1
Penstemon fruticosus (Pursh) Greene var,160371,[24004258],1
Penstemon palmeri,69925,[24004258],1
Penstemon venustus,265172,[24004258],1
Pestalotiopsis guepinii,498732,[10986672],1
Pf-5,220664,"[15980861, 11816976, 23297839, 26655755, 22375709, 20089046]",6
Pf0-1,205922,[21228890],1
Pfiesteria piscicida,71001,[16913924],1
Phaeobacter,1902409,[22582055],1
Phaeobacter gallaeciensis,60890,[22717884],1
Phaeobacter inhibens DSM17395,391619,[24141121],1
Phaeobacter sp.,1902409,[22582055],1
Phaeodactylum tricornutum,2850,[28073457],1
Phakellia ventilabrum,942649,[24819608],1
Phallusia nigra,569429,[25572211],1
Phaseolus vulgaris,3885,[25182327],1
Phaseolus vulgaris L,3885,[19486391],1
Philodina acuticornis,44582,[17295279],1
Phoenix dactylifera,42345,[28603127],1
Phomopsis asparagi,83181,[22536997],1
Phomopsis longicolla,54899,"[23412059, 23296917, 20372017]",3
Phomopsis sp,1715245,"[24301768, 10986672, 20372017]",3
Phorbas tenacior,252958,[24392789],1
Phormidium CCC727,1428406,[28004519],1
Phormidium CCC730,1585381,[28004519],1
Phormidium CCC731,1585382,[28004519],1
Phormidium ectocarpi SAG 60.90,1297578,[23922738],1
Photobacterium halotolerans,265726,[24141121],1
Photorhabdus,1173677,"[23053483, 27702563]",2
Photorhabdus,291112,[23095088],1
Photorhabdus,29488,"[21924970, 22767929, 28246174]",3
Photorhabdus asymbiotica,291112,[23095088],1
Photorhabdus luminescens,29488,"[27555343, 28062794, 21924970, 22767929, 28246174, 28431213, 17722122, 20524642]",8
Photorhabdus luminescens subsp. sonorensis,1173677,"[23053483, 27702563]",2
Phyllonotus pomum,57637,[20527468],1
Phyllosticta citricarpa,55181,[25385358],1
Phytophthora,4784,[19735749],1
Phytophthora cactorum,29920,[21685161],1
Phytophthora capsici,4784,"[19735749, 24599183, 20580869, 20336498]",4
Phytophthora infestans,4787,[21672101],1
Phytophthora nicotianae var. parasitica,4791,[18396832],1
Pig,9823,"[15916601, 17766413, 12519208]",3
Piloderma,80663,[22852578],1
Piloderma croceum,80663,[22852578],1
Pinellia ternata,199225,[25868618],1
Pinus sylvestris,3349,"[20555400, 27392610]",2
Piper nigrum,13216,[23885762],1
Piper nigrum L,13216,[24193053],1
Pistacia atlantica,434234,[27486691],1
Pistacia atlantica Desf,434234,[27486691],1
Pisum sativum,3888,[25412549],1
Planctomyces limnophilus,120,[23982431],1
Planktothrix agardhii,1160,"[27307781, 10209871, 26096082]",3
Planococcus citri,170843,[24204799],1
Planococcus donghaensis,414778,[24875126],1
Planococcus rifietoensis,200991,[19191973],1
Plasmodium falciparum,5833,"[29248948, 28953997, 11720540, 27554496]",4
"Plasmodium falciparum, K-1",5839,[26809052],1
Plectonema sp,29414,[15668032],1
Pleurotus,5322,[24941164],1
Pleurotus ostreatus,5322,[27910758],1
Plexaurella fusifera,287938,[18421429],1
Plicaria anthracina,43427,[12234354],1
Plutella xylostella,51655,[24394195],1
Pogostemon cablin (Blanco) Benth,28511,[23160088],1
Poincianella pyramidalis,1234621,[27192209],1
Polymorphum,991905,[22359583],1
Polymorphum gilvum,991904,[22359583],1
Polymorphum gilvum SL003B-26A1,991905,[22359583],1
Pomegranate,22663,[26189645],1
Populus,80863,[28231859],1
Populus tremula x Populus alba,80863,[28231859],1
Populus tremuloides,3693,[26961755],1
Porifericola rhodea,930972,[22753528],1
Porites cylindrica,126659,[27795310],1
Porphyra yezoensis,2788,[18214603],1
Porphyromonas gingivalis,837,"[26477831, 22698715, 23033653]",3
Potamogeton perfoliatus,55320,[12474899],1
Potato,4113,"[29084681, 22129602, 25826255, 25489722]",4
Preussia,1715257,[23975673],1
Preussia sp,1715257,[23975673],1
Prevotella,839,[18661292],1
Prevotella bryantii,77095,[18661292],1
Prevotella intermedia,28131,"[22698715, 23033653]",2
Prevotella ruminicola,839,[18661292],1
Prevotella ruminicola 23,264731,[18661292],1
Prevotella sp,59823,[28117709],1
Prochlorococcus,74547,[20479271],1
Prochlorococcus MIT9313,74547,[20479271],1
Prochloron didemni,1216,[22123943],1
Propionibacterium acnes,1747,"[1486236, 8158169]",2
Propionibacterium freudenreichii,1744,[11823198],1
Proteus,229037,[28224723],1
Proteus mirabilis,584,"[28534309, 26538254]",2
Proteus sp,229037,[28224723],1
Proteus vulgaris,585,"[28219296, 27609432]",2
Protoparmeliopsis muralis,640397,[28592323],1
Providencia vermicola,333965,[25594688],1
Ps. aeruginosa,287,"[28534309, 15870443]",2
Ps. chlororaphis,587753,[21362001],1
Ps. fluorescens,294,"[14962038, 15189291]",2
Pseudoalteromonas,176102,[21305330],1
Pseudoalteromonas,493915,[23457803],1
Pseudoalteromonas,53249,[25646964],1
Pseudoalteromonas agarivorans,176102,[21305330],1
Pseudoalteromonas aurantia,43654,[21305330],1
Pseudoalteromonas luteoviolacea,43657,"[24141121, 21305330]",2
Pseudoalteromonas phenolica,161398,[21305330],1
Pseudoalteromonas piscicida,43662,"[21305330, 25646964]",2
Pseudoalteromonas rubra,43658,[21305330],1
Pseudoalteromonas ruthenica,151081,[21305330],1
Pseudoalteromonas sp,53249,"[26805856, 25646964]",2
Pseudoalteromonas sp. M2,1496139,[26805856],1
"Pseudoalteromonas sp. M2, 2",1433741,[26805856],1
Pseudoalteromonas sp. NJ631,493915,[23457803],1
Pseudoalteromonas tunicata,314281,[16957232],1
Pseudoarachniotus roseus,166389,[1473986],1
Pseudomonas,1114970,"[10869066, 21043573, 7646029]",3
Pseudomonas,1124983,[19322247],1
Pseudomonas,1343078,[28871340],1
Pseudomonas,1586417,[25981855],1
Pseudomonas,1825979,[28000056],1
Pseudomonas,1928194,[16997957],1
Pseudomonas,208964,"[24906569, 27480638]",2
Pseudomonas,220664,"[26655755, 20089046]",2
Pseudomonas,223283,[17601782],1
Pseudomonas,235469,[14601668],1
Pseudomonas,287,"[22069558, 20336292, 10500159, 25239889, 21965577, 24923764, 20738404, 17028277]",8
Pseudomonas,294,"[21204921, 12018176, 12448737, 9172332, 16637170, 23295683, 19486391, 29151161, 21392918, 26246193, 20236162, 10547442]",12
Pseudomonas,303,"[24948949, 23877277, 22098101]",3
Pseudomonas,306,"[17233750, 20329699, 28224723, 26051670]",4
Pseudomonas,380021,[18396832],1
Pseudomonas,509636,[19267150],1
Pseudomonas,534632,[23563743],1
Pseudomonas,587753,"[25512025, 28893188, 17334842, 24739259]",4
Pseudomonas,587851,[4968963],1
Pseudomonas BS1,381094,[7812438],1
Pseudomonas aeruginosa,287,"[24663118, 27166532, 28708374, 20962140, 18953608, 28800088, 29275130, 22985848, 27306928, 28534309, 27465850, 28785779, 23563743, 24587717, 24136453, 14962038, 22712411, 19086381, 29108108, 27437708, 28642031, 23979826, 19409488, 28255686, 27498831, 25553429, 21731548, 3112182, 24910069, 22806035, 26588432, 25737024, 25646964, 24399857, 23975673, 20336292, 16860349, 18755976, 21060211, 28699251, 28892017, 28535606, 22170780, 26369437, 26832668, 21742008, 15504865, 25777471, 16436433, 22747978, 20527468, 25809238, 15266809, 21667084, 19486283, 525987, 25532893, 18782083, 20553557, 26001558, 15870443, 15636743, 17952508, 23480526, 10500159, 27487455, 28219296, 25239889, 28642945, 21965577, 24923764, 7780603, 25594688, 11782502, 28931063, 8898383, 164997, 23566822, 26331158, 26051670, 11673439, 22654215, 25162599, 12732958, 2507445, 28051856, 20705730, 21671613, 23457628, 29188775, 12423020, 27480638, 20738404, 27609432, 26186031, 20606771, 25863020, 27966085, 25133532, 17028277, 20499649, 23342508, 19054330, 25525717, 27033000, 20111686]",106
Pseudomonas aeruginosa (PA-01),208964,[17499938],1
Pseudomonas aeruginosa M18,941193,[23708134],1
Pseudomonas aeruginosa PA14,652611,[20597908],1
Pseudomonas aeruginosa PAO1,208964,"[25213366, 23457254, 15636743, 24906569, 20499649, 25525717]",6
Pseudomonas aeruginosa PGPR2,1328315,[24037513],1
Pseudomonas aeruginosa TBCF10839,1158200,[19054330],1
Pseudomonas aureofaciens,587851,"[15128573, 12089008, 4968963]",3
Pseudomonas batumici,226910,[15104054],1
Pseudomonas brassicacearum,930166,"[26861677, 17922765, 22247157]",3
Pseudomonas by,1076620,[11772620],1
Pseudomonas chlororaphis,587753,"[21204921, 25512025, 16997957, 27974729, 28893188, 22262095, 22328763, 26860841, 17334842, 24739259]",10
Pseudomonas chlororaphis 30-84,1038921,"[27926818, 23606419]",2
Pseudomonas chlororaphis HT66,1343078,[28871340],1
Pseudomonas chlororaphis O6,1037915,"[21362001, 19239495, 22380795, 24588386]",4
Pseudomonas chlororaphis subsp. aureofaciens,587851,[22724439],1
Pseudomonas corrugata,47879,[17657535],1
Pseudomonas donghuensis,1163398,[28358818],1
Pseudomonas entomophila,312306,"[19345136, 20597908, 19486283]",3
Pseudomonas fluorescens,294,"[22806873, 12422510, 21951859, 21204921, 15553244, 25512025, 23898207, 25656264, 27199346, 10763748, 25957971, 9172332, 19409488, 25655927, 23870821, 3073060, 11816976, 12619819, 23295683, 15758242, 14506862, 15636743, 29151161, 22375709, 12848429, 22188391, 20392474, 27523480, 26916832, 26246193, 15189291, 20236162, 21843946, 10547442]",34
Pseudomonas fluorescens (CHA0),1124983,[20884343],1
Pseudomonas fluorescens BBc6R8,463794,"[27199346, 24906569]",2
Pseudomonas fluorescens CHA0,1124983,"[21360140, 23035953, 19769587, 17088380, 19322247, 16597964, 12848429]",7
Pseudomonas fluorescens F113,1114970,"[21685161, 10869066, 15758242, 21043573, 23350846, 7646029]",6
Pseudomonas fluorescens Pf-5,220664,"[15980861, 20089046]",2
Pseudomonas fluorescens Pf0-1,205922,"[21228890, 22110622]",2
Pseudomonas fluorescens SS101,1038924,[25488342],1
Pseudomonas fluorescens stra,1124983,"[20884343, 15189291]",2
Pseudomonas fluorescens strai,205922,[21228890],1
Pseudomonas graminis,158627,[27002332],1
Pseudomonas protegens,380021,"[28262092, 21392918]",2
Pseudomonas protegens CHA0,1124983,[29151161],1
Pseudomonas protegens Pf-5,220664,"[23297839, 27208659, 23435890]",3
Pseudomonas protegens stra,220664,[26655755],1
Pseudomonas pseudoalcaligenes KF707,1149133,[14574103],1
Pseudomonas putida,303,"[12788752, 15006783, 22527057, 24948949, 21495154, 19060161, 22544260, 20392474, 17185221, 23877277, 22098101, 11772620, 18701643]",13
Pseudomonas putida F1,351746,[14574103],1
"Pseudomonas putida, W15Oct28",1449986,[23877277],1
Pseudomonas reactans,117680,[22544260],1
Pseudomonas reinekei,395598,[22609919],1
Pseudomonas sp,306,"[17233750, 20329699, 28224723, 25512025, 16395556, 28654009, 28335605, 28000056, 26051670, 24906569, 7142955]",11
Pseudomonas sp.,306,[12619819],1
Pseudomonas sp. 10B238,1586417,[25981855],1
Pseudomonas sp. A21,509636,[19267150],1
Pseudomonas sp. An,534632,[23563743],1
Pseudomonas sp. BS1,381094,[7812438],1
Pseudomonas sp. DSS73,173677,[21204921],1
Pseudomonas sp. DSW.1-S4,633684,[26051670],1
Pseudomonas sp. HRW.1-S3,633683,[26051670],1
Pseudomonas sp. M-18,228095,"[15859340, 17552230]",2
Pseudomonas sp. M18,228095,"[17263850, 17037049, 20069876, 17552230]",4
Pseudomonas sp. p21,1825979,[28000056],1
Pseudomonas sp. str,1825979,[28000056],1
Pseudomonas sp. strain ,235469,"[14601668, 15629930]",2
Pseudomonas str,89776,[28164793],1
Pseudomonas syringae,317,"[24131731, 25243954, 27626430, 25423263, 18789127, 26991928, 26270176, 25997443, 22851214, 23319638, 27702563, 25182327]",12
Pseudomonas syringae DC3000,223283,"[20512647, 15141066]",2
Pseudomonas syringae pathovars,317,[19486391],1
Pseudomonas syringae pv. maculicola,59511,[25362058],1
Pseudomonas syringae pv. phaseolicola,319,[19486391],1
Pseudomonas syringae pv. syringae,317,"[25101956, 11310739]",2
Pseudomonas syringae pv. syringae B728a,205918,"[23319638, 25182327]",2
Pseudomonas syringae pv. tomato,323,"[26307771, 28440700, 20530195, 24131360]",4
Pseudomonas syringae pv. tomato DC3000,223283,"[17601782, 26270176, 14651344]",3
Pseudomonas taetrolens,47884,[22777280],1
Pseudomonas tolaasii,29442,[22544260],1
Pseudomonas. sp. M18,228095,[20069876],1
Pseudomonasfluorescens strain,294,[11816976],1
Pseudoplectania nigrella,96584,[23023950],1
Pseudopterogorgia acerosa,1306265,[20527468],1
Pseudoruegeria aquimaris,393663,[21551335],1
Pseudovibrio ascidiaceicola,285279,[18031339],1
Pseudovibrio denitrificans,258256,"[17497228, 18031339]",2
Pseudovibrio sp. D323,882118,[21892353],1
Pseudovibrio sp. Strain ,911045,[25769826],1
Pseudovibrio sp. strain ,911045,[25769826],1
Pst,223283,[26270176],1
Pst,323,[26307771],1
Psychotria,43559,[22548823],1
Psychotria kirkii,43559,[22548823],1
Pteria colymbus,926821,[20527468],1
Pteris vittata L,13821,[28567675],1
Py2,78245,[9477250],1
Pyricularia oryzae,318829,[15119855],1
Pyronema sp,1849815,[28391728],1
Pythium aphanidermatum,65070,[28807055],1
Pythium sp,1862977,[18396832],1
Pythium ultimum,65071,"[28440700, 16597964, 11200428]",3
R. capsulatus,1061,[25164283],1
R. fascians,1828,[19118125],1
R. marginata,396742,[25100187],1
R. meliloti,382,[8988598],1
R. officinalis,39367,[26802522],1
R. radiobacter,358,[27312649],1
R. rhodochrous,1829,[20392474],1
R. solanacearum,305,"[20687809, 16436433, 22978675, 28722830, 28846435]",5
R. solanacearum strai,1429399,[25250839],1
R. sphaeroides,1063,[25164283],1
R1-NS-10,1306990,[24690912],1
RKNs,6303,[27902921],1
Radula marginata,1494991,[25100187],1
Ralstonia solanacearum,305,"[26307771, 20687809, 26588432, 16436433, 26645956, 22978675, 28846435, 25250839]",8
Ralstonia solanacearum (RS,1405497,[16436433],1
Ralstonia solanacearum OE1-1,1429399,[25250839],1
Ralstonia solanacearum strai,1429399,[28722830],1
Rangifer tarandus tarandus,86329,"[27159387, 18421431]",2
Raphanus sativus,3726,[19694949],1
Red clover,57577,[20087740],1
Reindeer,9870,"[27159387, 18421431]",2
Reticulitermes flavipes,36989,[27338261],1
Rhabditis,35561,[23065379],1
Rhabditis sp,35561,[23065379],1
Rhamnus californica,143678,[26001558],1
Rheinheimera sp. EpRS3,1712383,[27884784],1
Rhizobium NGR234,394,[17272727],1
Rhizobium leguminosarum bv. viciae,387,[18500633],1
Rhizobium meliloti,382,[8988598],1
Rhizobium radiobacter,358,[27312649],1
Rhizoctonia solani,456999,"[12422510, 17233750, 28807055, 21362001, 28440700, 23065379, 9172332, 16637170, 25304022, 18789127, 22747978, 26637162, 22332977, 26597042, 18396832]",15
Rhizoctonia sp,2047347,[24037513],1
Rhizophagus intraradices,4876,[27179537],1
Rhizophora mangle,40031,[19086381],1
Rhodobacter,1061,[25164283],1
Rhodobacter capsulatus,1061,"[9477250, 25164283]",2
Rhodobacter sphaeroides,1063,"[20396902, 25164283]",2
Rhodococcus,1752066,[26767576],1
Rhodococcus erythropolis,1833,"[21097597, 22202970, 25970559, 25239889]",4
Rhodococcus fascians,1828,"[23771021, 19118125]",2
